abbr,-3,-2,-1,base,+1,+2,+3
FCoSp2V,-90,-60,-30,150,50,100,150
FCoSp3V,-90,-60,-30,180,50,100,150
FCoSp4V,-90,-60,-30,210,50,100,150
CCoSpB,-90,-60,-30,170,50,100,150
CCoSp1,-90,-60,-30,200,50,100,150
CCoSp2,-90,-60,-30,250,50,100,150
CCoSp3,-90,-60,-30,300,50,100,150
CCoSp4,-90,-60,-30,350,50,100,150
CCoSpBV,-90,-60,-30,150,50,100,150
CCoSp1V,-90,-60,-30,170,50,100,150
CCoSp2V,-90,-60,-30,200,50,100,150
CCoSp3V,-90,-60,-30,250,50,100,150
CCoSp4V,-90,-60,-30,300,50,100,150
FCCoSpB,-90,-60,-30,170,50,100,150
FCCoSp1,-90,-60,-30,200,50,100,150
FCCoSp2,-90,-60,-30,250,50,100,150
FCCoSp3,-90,-60,-30,300,50,100,150
FCCoSp4,-90,-60,-30,350,50,100,150
FCCoSpBV,-90,-60,-30,150,50,100,150
FCCoSp1V,-90,-60,-30,170,50,100,150
FCCoSp2V,-90,-60,-30,200,50,100,150
FCCoSp3V,-90,-60,-30,250,50,100,150
FCCoSp4V,-90,-60,-30,300,50,100,150
StSqB,-90,-60,-30,150,50,100,150
StSq1,-90,-60,-30,180,50,100,150
StSq2,-150,-100,-50,260,50,100,150
StSq3,-210,-140,-70,330,50,100,150
StSq4,-210,-140,-70,390,70,140,210
ChSq1,-150,-100,-50,200,70,140,210
